city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-28 23:57:08,174,174,76,158,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 23:00:00,72,56,24,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 23:00:00,42,42,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-28 23:00:00,74,74,40,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 23:57:08,174,174,76,158,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 23:00:00,72,56,24,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 23:00:00,42,42,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-28 23:00:00,74,74,40,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 23:59:08,172,172,75,156,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 23:00:00,72,56,24,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 23:00:00,42,42,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-28 23:00:00,74,74,40,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 23:59:08,172,172,75,156,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 23:00:00,72,56,24,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 23:00:00,42,42,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-28 23:00:00,74,74,40,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-29 00:01:08,170,170,73,155,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-29 00:00:00,71,55,24,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-29 00:00:00,40,40,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 00:00:00,83,83,43,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-29 00:01:08,170,170,73,155,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-29 00:00:00,71,55,24,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-29 00:00:00,40,40,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 00:00:00,83,83,43,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-29 00:03:08,170,170,72,154,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-29 00:00:00,71,55,24,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-29 00:00:00,40,40,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 00:00:00,83,83,43,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-29 00:05:08,169,169,72,155,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-29 00:00:00,71,55,24,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-29 00:00:00,40,40,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 00:00:00,83,83,43,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-29 00:07:08,168,168,70,154,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-29 00:00:00,71,55,24,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-29 00:00:00,40,40,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 00:00:00,83,83,43,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-29 00:07:08,168,168,70,154,,,,,52,29.2,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-29 00:00:00,71,55,24,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-29 00:00:00,40,40,25,,59,63,0,25,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 00:00:00,83,83,43,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-29 00:09:08,168,168,72,154,,,,,52,29.2,,,
