city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-29 23:57:44,81,81,25,66,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-29 23:57:54,172,172,75,152,,,,,63,27.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-29 23:58:44,89,89,32,71,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-29 23:57:54,172,172,75,152,,,,,63,27.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:00:44,81,81,26,67,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-29 23:59:57,171,171,74,153,,,,,63,27.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:01:44,86,86,28,64,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:01:57,173,173,76,153,,,,,63,27.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:03:44,90,90,30,69,,,,,55,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:03:57,173,173,77,154,,,,,63,27.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:04:44,88,88,30,69,,,,,55,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:04:57,173,173,76,154,,,,,63,27.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:05:44,88,88,29,70,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:05:57,174,174,78,155,,,,,63,27.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:06:44,91,91,31,70,,,,,55,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:06:57,174,174,79,154,,,,,63,27.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:07:44,83,83,27,66,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:07:57,173,173,76,155,,,,,63,27.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:08:44,81,81,25,66,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:08:57,173,173,76,154,,,,,63,27.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-29 23:00:00,80,80,43,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-29 23:00:00,132,132,57,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-29 23:00:00,90,90,42,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:09:44,84,84,27,68,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:09:57,173,173,75,154,,,,,63,27.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 00:00:00,81,81,44,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 00:00:00,141,141,58,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 00:00:00,83,83,40,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:10:44,86,86,27,68,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:09:57,173,173,75,154,,,,,63,27.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 00:00:00,81,81,44,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 00:00:00,141,141,58,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 00:00:00,83,83,40,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:12:44,91,91,32,72,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:12:17,173,173,77,155,,,,,63,27.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 00:00:00,81,81,44,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 00:00:00,141,141,58,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 00:00:00,83,83,40,,42,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 00:14:44,82,82,25,67,,,,,54,31.1,,,
Depok,Cinere - Nafas,2026-04-30 00:14:17,174,174,78,155,,,,,64,27.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 00:00:00,81,81,44,,4,9,0,80,,,,,
