city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-19 23:55:21,104,104,40,80,,,,,58,30.4,,,
Depok,Cinere - Nafas,2026-05-19 23:55:29,190,190,95,166,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-19 23:00:00,76,76,39,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-19 23:00:00,62,62,34,,47,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-19 23:57:21,106,106,41,81,,,,,58,30.4,,,
Depok,Cinere - Nafas,2026-05-19 23:57:30,186,186,91,165,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-19 23:00:00,76,76,39,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-19 23:00:00,62,62,34,,47,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-19 23:59:21,103,103,39,78,,,,,58,30.4,,,
Depok,Cinere - Nafas,2026-05-19 23:59:33,184,184,87,161,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-19 23:00:00,76,76,39,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-19 23:00:00,62,62,34,,47,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-20 00:01:21,103,103,38,79,,,,,58,30.4,,,
Depok,Cinere - Nafas,2026-05-20 00:01:33,183,183,84,161,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-19 23:00:00,76,76,39,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-19 23:00:00,62,62,34,,47,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-20 00:01:21,103,103,38,79,,,,,58,30.4,,,
Depok,Cinere - Nafas,2026-05-20 00:01:33,183,183,84,161,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-19 23:00:00,76,76,39,,4,10,0,71,,,,,
