city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-22 23:56:25,156,156,61,131,,,,,61,28.6,,,
Depok,Cinere - Nafas,2026-05-22 23:57:13,77,77,25,54,,,,,57,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-22 23:56:25,156,156,61,131,,,,,61,28.6,,,
Depok,Cinere - Nafas,2026-05-22 23:57:13,77,77,25,54,,,,,57,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-22 23:58:26,157,157,60,129,,,,,62,28.6,,,
Depok,Cinere - Nafas,2026-05-22 23:59:12,75,75,23,57,,,,,57,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-22 23:58:26,157,157,60,129,,,,,62,28.6,,,
Depok,Cinere - Nafas,2026-05-22 23:59:12,75,75,23,57,,,,,57,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:00:26,159,159,61,137,,,,,62,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:01:12,74,74,21,45,,,,,57,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:02:26,156,156,59,125,,,,,61,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:03:14,66,66,20,39,,,,,57,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:02:26,156,156,59,125,,,,,61,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:03:14,66,66,20,39,,,,,57,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:05:26,158,158,61,128,,,,,62,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:05:14,73,73,23,45,,,,,57,28.5,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:05:26,158,158,61,128,,,,,62,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:07:14,67,67,20,38,,,,,57,28.5,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:07:26,156,156,60,124,,,,,62,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:07:14,67,67,20,38,,,,,57,28.5,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-22 23:00:00,71,70,35,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-22 23:00:00,86,86,43,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:09:26,156,156,60,128,,,,,62,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:09:14,64,64,20,42,,,,,57,28.5,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-23 00:00:00,71,69,34,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-23 00:00:00,94,94,45,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:11:26,161,161,63,136,,,,,62,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:11:14,70,70,23,41,,,,,57,28.5,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-23 00:00:00,71,69,34,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-23 00:00:00,94,94,45,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:11:26,161,161,63,136,,,,,62,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:11:14,70,70,23,41,,,,,57,28.5,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-23 00:00:00,71,69,34,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-23 00:00:00,94,94,45,,54,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-23 00:13:26,161,161,62,138,,,,,63,28.6,,,
Depok,Cinere - Nafas,2026-05-23 00:13:15,68,68,20,35,,,,,56,28.5,,,
