city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-20 23:56:55,95,95,36,73,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-20 23:57:12,168,168,71,151,,,,,60,28.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-20 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-20 23:00:00,31,31,25,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 23:58:55,84,84,27,70,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-20 23:57:12,168,168,71,151,,,,,60,28.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-20 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-20 23:00:00,31,31,25,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 23:59:55,80,80,25,64,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-20 23:59:32,169,169,73,152,,,,,60,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-20 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-20 23:00:00,31,31,25,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-21 00:00:55,86,86,27,66,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-20 23:59:32,169,169,73,152,,,,,60,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-21 00:00:00,80,67,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-21 00:00:00,41,41,27,,76,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-21 00:01:55,88,88,28,71,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-21 00:02:00,171,171,74,154,,,,,60,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-21 00:00:00,80,67,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-21 00:00:00,41,41,27,,76,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-21 00:03:55,88,88,29,70,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-21 00:03:00,171,171,75,154,,,,,60,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-21 00:00:00,80,67,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-21 00:00:00,41,41,27,,76,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-21 00:04:56,85,85,27,70,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-21 00:05:23,176,176,78,157,,,,,60,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-21 00:00:00,80,67,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-21 00:00:00,41,41,27,,76,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-21 00:04:56,85,85,27,70,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-21 00:05:23,176,176,78,157,,,,,60,28.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-21 00:00:00,80,67,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-21 00:00:00,41,41,27,,76,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-21 00:06:56,88,88,27,70,,,,,56,30.5,,,
