city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-21 23:54:49,141,141,55,107,,,,,58,30.4,,,
Depok,Cinere - Nafas,2026-05-21 23:57:11,151,151,57,109,,,,,59,28.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-21 23:56:49,145,145,56,101,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-21 23:57:11,151,151,57,109,,,,,59,28.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-21 23:57:49,146,146,56,111,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-21 23:58:11,152,152,58,107,,,,,60,28.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-21 23:57:49,146,146,56,111,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-21 23:58:11,152,152,58,107,,,,,60,28.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-22 00:00:49,153,153,59,116,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-22 00:01:11,150,150,58,104,,,,,60,28.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-22 00:02:49,150,150,57,113,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-22 00:03:11,151,151,57,108,,,,,60,28.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-22 00:02:49,150,150,57,113,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-22 00:03:11,151,151,57,108,,,,,60,28.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-22 00:03:49,153,153,58,117,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-22 00:04:11,151,151,58,105,,,,,60,28.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-22 00:05:49,158,158,61,135,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-22 00:06:11,150,150,57,106,,,,,60,28.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-22 00:05:49,158,158,61,135,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-22 00:06:11,150,150,57,106,,,,,60,28.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-21 23:00:00,75,75,39,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-21 23:00:00,84,84,39,,60,13,0,2,,,,,
