city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-12 23:57:16,124,124,50,91,,,,,59,28.5,,,
Depok,Cinere - Nafas,2026-04-12 23:57:09,152,152,59,113,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-12 23:00:00,80,48,19,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-12 23:00:00,64,32,20,,40,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-12 23:00:00,23,19,19,,78,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-12 23:58:16,124,124,51,89,,,,,59,28.5,,,
Depok,Cinere - Nafas,2026-04-12 23:58:09,154,154,59,121,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-12 23:00:00,80,48,19,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-12 23:00:00,64,32,20,,40,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-12 23:00:00,23,19,19,,78,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-13 00:01:16,126,126,50,92,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-13 00:01:09,151,151,58,113,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-12 23:00:00,80,48,19,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-12 23:00:00,64,32,20,,40,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-12 23:00:00,23,19,19,,78,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-13 00:02:17,124,124,50,89,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-13 00:02:09,150,150,58,109,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-12 23:00:00,80,48,19,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-12 23:00:00,64,32,20,,40,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-12 23:00:00,23,19,19,,78,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-13 00:03:16,123,123,50,91,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-13 00:03:09,151,151,58,112,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-12 23:00:00,80,48,19,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-12 23:00:00,64,32,20,,40,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-12 23:00:00,23,19,19,,78,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-13 00:04:16,116,116,48,89,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-13 00:04:09,152,152,58,115,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-12 23:00:00,80,48,19,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-12 23:00:00,64,32,20,,40,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-12 23:00:00,23,19,19,,78,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-13 00:05:16,123,123,49,89,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-13 00:05:09,153,153,59,117,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-12 23:00:00,80,48,19,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-12 23:00:00,64,32,20,,40,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-12 23:00:00,23,19,19,,78,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-13 00:06:17,122,122,50,90,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-13 00:06:09,153,153,58,120,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-12 23:00:00,80,48,19,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-12 23:00:00,64,32,20,,40,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-12 23:00:00,23,19,19,,78,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-13 00:07:16,129,129,52,95,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-13 00:07:09,153,153,58,121,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-12 23:00:00,80,48,19,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 00:00:00,64,43,22,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-13 00:00:00,25,25,20,,78,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-13 00:09:17,125,125,51,94,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-13 00:09:09,152,152,59,115,,,,,0,0,,,
