city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-18 23:57:28,94,94,34,72,,,,,56,28.9,,,
Depok,Cinere - Nafas,2026-04-18 23:57:40,152,152,59,106,,,,,62,27.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-18 23:00:00,80,63,30,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-18 23:00:00,62,62,31,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-18 23:59:28,98,98,35,73,,,,,56,29,,,
Depok,Cinere - Nafas,2026-04-18 23:59:39,152,152,58,106,,,,,62,27.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-18 23:00:00,80,63,30,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-18 23:00:00,62,62,31,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-19 00:00:28,96,96,34,74,,,,,56,29,,,
Depok,Cinere - Nafas,2026-04-19 00:00:39,152,152,58,105,,,,,62,27.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-18 23:00:00,80,63,30,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-18 23:00:00,62,62,31,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-19 00:01:28,97,97,34,74,,,,,56,29,,,
Depok,Cinere - Nafas,2026-04-19 00:01:39,151,151,58,101,,,,,63,27.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-18 23:00:00,80,63,30,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-18 23:00:00,62,62,31,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-19 00:02:28,98,98,37,74,,,,,56,29,,,
Depok,Cinere - Nafas,2026-04-19 00:02:39,152,152,57,101,,,,,63,27.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-18 23:00:00,80,63,30,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-18 23:00:00,62,62,31,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-19 00:03:28,98,98,37,76,,,,,56,29,,,
Depok,Cinere - Nafas,2026-04-19 00:03:40,152,152,58,105,,,,,62,27.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-18 23:00:00,80,63,30,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-18 23:00:00,62,62,31,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-19 00:05:28,102,102,39,75,,,,,55,29,,,
Depok,Cinere - Nafas,2026-04-19 00:05:40,152,152,59,106,,,,,62,27.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-18 23:00:00,80,63,30,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-18 23:00:00,62,62,31,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-19 00:06:28,101,101,42,75,,,,,56,29.1,,,
Depok,Cinere - Nafas,2026-04-19 00:06:40,153,153,59,108,,,,,62,27.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-18 23:00:00,80,63,30,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-18 23:00:00,62,62,31,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-19 00:07:28,104,104,40,76,,,,,56,29.1,,,
Depok,Cinere - Nafas,2026-04-19 00:07:40,153,153,59,108,,,,,62,27.2,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-18 23:00:00,80,63,30,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-18 23:00:00,62,62,31,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-19 00:09:28,97,97,36,76,,,,,56,29.1,,,
Depok,Cinere - Nafas,2026-04-19 00:09:40,155,155,60,109,,,,,63,27.2,,,
