city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-06-01 23:54:12,164,164,65,148,,,,,55,29.6,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-01 23:00:00,95,95,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-01 23:00:00,143,143,61,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-01 23:57:12,163,163,64,138,,,,,55,29.6,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-01 23:00:00,95,95,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-01 23:00:00,143,143,61,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-01 23:57:12,163,163,64,138,,,,,55,29.6,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-01 23:00:00,95,95,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-01 23:00:00,143,143,61,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-01 23:59:12,162,162,65,143,,,,,55,29.6,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-01 23:00:00,95,95,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-01 23:00:00,143,143,61,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-01 23:59:12,162,162,65,143,,,,,55,29.6,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-01 23:00:00,95,95,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-01 23:00:00,143,143,61,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-02 00:02:12,161,161,64,140,,,,,55,29.6,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-02 00:00:00,93,93,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-02 00:00:00,145,145,60,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-02 00:02:12,161,161,64,140,,,,,55,29.6,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-02 00:00:00,93,93,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-02 00:00:00,145,145,60,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-02 00:04:12,163,163,66,143,,,,,55,29.5,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-02 00:00:00,93,93,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-02 00:00:00,145,145,60,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-02 00:04:12,163,163,66,143,,,,,55,29.5,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-02 00:00:00,93,93,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-02 00:00:00,145,145,60,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-02 00:04:12,163,163,66,143,,,,,55,29.5,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-02 00:00:00,93,93,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-02 00:00:00,145,145,60,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-06-02 00:07:12,164,164,66,147,,,,,55,29.5,,,
Depok,Cinere - Nafas,2026-05-28 01:30:22,-,72,22,50,,,,,57,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-06-02 00:00:00,93,93,52,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-06-02 00:00:00,145,145,60,,59,63,0,27,,,,,
Bekasi,Bekasi Kayuringin,2026-05-29 08:00:00,-,95,48,,48,13,0,2,,,,,
