city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-14 23:57:38,91,91,33,72,,,,,58,28.2,,,
Depok,Cinere - Nafas,2026-04-14 23:57:52,130,130,53,91,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 23:00:00,80,60,27,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 23:00:00,37,37,24,,72,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 23:57:38,91,91,33,72,,,,,58,28.2,,,
Depok,Cinere - Nafas,2026-04-14 23:57:52,130,130,53,91,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 23:00:00,80,60,27,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 23:00:00,37,37,24,,72,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 23:58:38,100,100,38,74,,,,,58,28.2,,,
Depok,Cinere - Nafas,2026-04-15 00:00:52,132,132,53,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 23:00:00,80,60,27,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 23:00:00,37,37,24,,72,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-15 00:01:38,96,96,37,73,,,,,58,28.2,,,
Depok,Cinere - Nafas,2026-04-15 00:01:52,130,130,52,90,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 23:00:00,80,60,27,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 23:00:00,37,37,24,,72,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-15 00:02:38,94,94,36,73,,,,,58,28.2,,,
Depok,Cinere - Nafas,2026-04-15 00:02:52,131,131,53,90,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 23:00:00,80,60,27,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 23:00:00,37,37,24,,72,16,0,24,,,,,
