city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-27 23:57:42,168,168,70,154,,,,,51,31.5,,,
Depok,Cinere - Nafas,2026-04-27 23:57:42,207,207,106,174,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-27 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-27 23:00:00,79,79,42,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-27 23:58:43,163,163,66,151,,,,,51,31.6,,,
Depok,Cinere - Nafas,2026-04-27 23:58:42,202,202,105,175,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-27 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-27 23:00:00,79,79,42,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-27 23:59:42,172,172,74,157,,,,,52,31.6,,,
Depok,Cinere - Nafas,2026-04-27 23:59:42,200,200,103,172,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-27 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-27 23:00:00,79,79,42,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:00:43,173,173,76,158,,,,,52,31.6,,,
Depok,Cinere - Nafas,2026-04-28 00:00:42,201,201,106,173,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-27 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-27 23:00:00,79,79,42,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:01:43,176,176,77,160,,,,,53,31.6,,,
Depok,Cinere - Nafas,2026-04-28 00:01:42,199,199,102,173,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-27 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-27 23:00:00,79,79,42,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:02:43,164,164,66,151,,,,,53,31.5,,,
Depok,Cinere - Nafas,2026-04-28 00:02:42,198,198,102,171,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-27 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-27 23:00:00,79,79,42,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:05:43,141,141,54,101,,,,,55,31.2,,,
Depok,Cinere - Nafas,2026-04-28 00:05:42,193,193,99,169,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-27 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-27 23:00:00,79,79,42,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:06:43,138,138,55,99,,,,,55,31.1,,,
Depok,Cinere - Nafas,2026-04-28 00:06:42,195,195,97,170,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-27 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-27 23:00:00,79,79,42,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:06:43,138,138,55,99,,,,,55,31.1,,,
Depok,Cinere - Nafas,2026-04-28 00:06:42,195,195,97,170,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-27 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-27 23:00:00,79,79,42,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:07:43,136,136,54,98,,,,,56,31,,,
Depok,Cinere - Nafas,2026-04-28 00:07:42,193,193,96,168,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-28 00:00:00,80,69,34,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-28 00:00:00,74,74,41,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:08:43,139,139,54,104,,,,,56,30.8,,,
Depok,Cinere - Nafas,2026-04-28 00:08:42,193,193,95,168,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-28 00:00:00,80,69,34,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-28 00:00:00,74,74,41,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:09:43,138,138,54,100,,,,,57,30.8,,,
Depok,Cinere - Nafas,2026-04-28 00:09:42,192,192,94,167,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-28 00:00:00,80,69,34,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-28 00:00:00,74,74,41,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:10:43,126,126,51,93,,,,,57,30.7,,,
Depok,Cinere - Nafas,2026-04-28 00:10:42,191,191,96,168,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-28 00:00:00,80,69,34,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-28 00:00:00,74,74,41,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:12:43,121,121,48,88,,,,,56,30.6,,,
Depok,Cinere - Nafas,2026-04-28 00:13:42,190,190,94,166,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-28 00:00:00,80,69,34,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-28 00:00:00,74,74,41,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-28 00:14:43,111,111,43,84,,,,,55,30.5,,,
Depok,Cinere - Nafas,2026-04-28 00:14:42,190,190,94,166,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-28 00:00:00,80,69,34,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
