city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-30 23:57:15,94,94,35,73,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-04-30 23:57:19,134,134,53,93,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 23:00:00,100,100,54,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 23:00:00,55,55,28,,40,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-30 23:58:15,91,91,31,70,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-04-30 23:58:19,135,135,54,95,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 23:00:00,100,100,54,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 23:00:00,55,55,28,,40,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:00:15,90,90,30,71,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:00:19,133,133,53,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 23:00:00,100,100,54,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 23:00:00,55,55,28,,40,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:02:15,93,93,32,72,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:02:21,133,133,53,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 23:00:00,100,100,54,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 23:00:00,55,55,28,,40,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:03:15,88,88,33,71,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:03:19,132,132,52,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 23:00:00,100,100,54,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 23:00:00,55,55,28,,40,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:04:15,87,87,30,71,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:04:19,132,132,53,95,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 23:00:00,100,100,54,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 23:00:00,55,55,28,,40,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:05:15,91,91,31,72,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:05:19,131,131,53,93,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 23:00:00,100,100,54,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 23:00:00,55,55,28,,40,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:06:15,90,90,29,70,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:06:19,131,131,52,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 23:00:00,100,100,54,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 23:00:00,55,55,28,,40,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:07:15,95,95,34,73,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:07:19,133,133,54,96,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-30 23:00:00,80,66,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-30 23:00:00,100,100,54,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-30 23:00:00,55,55,28,,40,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:08:15,93,93,32,71,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:09:19,130,130,53,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-01 00:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-01 00:00:00,97,97,52,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-01 00:00:00,54,54,28,,41,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:10:15,94,94,34,74,,,,,60,28.5,,,
Depok,Cinere - Nafas,2026-05-01 00:10:19,131,131,52,93,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-01 00:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-01 00:00:00,97,97,52,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-01 00:00:00,54,54,28,,41,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:11:16,95,95,35,76,,,,,60,28.5,,,
Depok,Cinere - Nafas,2026-05-01 00:11:19,130,130,53,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-01 00:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-01 00:00:00,97,97,52,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-01 00:00:00,54,54,28,,41,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:12:16,97,97,34,76,,,,,60,28.5,,,
Depok,Cinere - Nafas,2026-05-01 00:12:19,128,128,51,90,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-01 00:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-01 00:00:00,97,97,52,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-01 00:00:00,54,54,28,,41,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:14:16,93,93,31,72,,,,,59,28.5,,,
Depok,Cinere - Nafas,2026-05-01 00:14:19,127,127,51,93,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-01 00:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-01 00:00:00,97,97,52,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-01 00:00:00,54,54,28,,41,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:15:16,96,96,36,74,,,,,59,28.5,,,
Depok,Cinere - Nafas,2026-05-01 00:15:19,129,129,51,93,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-01 00:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-01 00:00:00,97,97,52,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-01 00:00:00,54,54,28,,41,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:16:16,93,93,31,72,,,,,59,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:16:19,129,129,51,92,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-01 00:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-01 00:00:00,97,97,52,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-01 00:00:00,54,54,28,,41,15,0,7,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-01 00:17:16,96,96,34,72,,,,,59,28.6,,,
Depok,Cinere - Nafas,2026-05-01 00:17:19,130,130,52,93,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-01 00:00:00,80,65,31,,4,9,0,80,,,,,
