city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-24 23:58:11,94,94,34,73,,,,,57,30.8,,,
Depok,Cinere - Nafas,2026-04-24 23:58:52,138,138,54,96,,,,,62,29,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 23:00:00,85,85,37,,76,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-24 23:59:11,91,91,33,71,,,,,57,30.7,,,
Depok,Cinere - Nafas,2026-04-24 23:59:52,142,142,56,96,,,,,62,29,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 23:00:00,85,85,37,,76,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-25 00:00:11,92,92,32,71,,,,,58,30.7,,,
Depok,Cinere - Nafas,2026-04-25 00:00:53,140,140,56,96,,,,,62,29,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 23:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 23:00:00,85,85,37,,76,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-25 00:01:14,87,87,27,68,,,,,57,30.7,,,
Depok,Cinere - Nafas,2026-04-25 00:01:53,140,140,56,98,,,,,62,29,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-25 00:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-25 00:00:00,81,81,35,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-25 00:04:11,91,91,32,72,,,,,57,30.7,,,
Depok,Cinere - Nafas,2026-04-25 00:04:53,150,150,57,104,,,,,62,29,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-25 00:00:00,80,68,33,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-25 00:00:00,81,81,35,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-25 00:04:11,91,91,32,72,,,,,57,30.7,,,
Depok,Cinere - Nafas,2026-04-25 00:04:53,150,150,57,104,,,,,62,29,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-25 00:00:00,80,68,33,,4,9,0,80,,,,,
