city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-13 23:56:15,151,151,57,113,,,,,54,30.7,,,
Depok,Cinere - Nafas,2026-05-13 23:55:59,174,174,77,155,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-13 01:00:00,-,85,46,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-13 23:00:00,134,134,60,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-13 23:00:00,87,87,47,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-14 00:00:15,151,151,56,109,,,,,55,30.7,,,
Depok,Cinere - Nafas,2026-05-13 23:59:59,172,172,74,154,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-13 01:00:00,-,85,46,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-13 23:00:00,134,134,60,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-13 23:00:00,87,87,47,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-14 00:00:15,151,151,56,109,,,,,55,30.7,,,
Depok,Cinere - Nafas,2026-05-13 23:59:59,172,172,74,154,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-13 01:00:00,-,85,46,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-13 23:00:00,134,134,60,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-13 23:00:00,87,87,47,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-14 00:01:17,151,151,57,111,,,,,55,30.7,,,
Depok,Cinere - Nafas,2026-05-14 00:00:59,170,170,74,154,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-13 01:00:00,-,85,46,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-13 23:00:00,134,134,60,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-13 23:00:00,87,87,47,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-14 00:03:15,151,151,57,108,,,,,55,30.7,,,
Depok,Cinere - Nafas,2026-05-14 00:02:59,165,165,67,144,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-13 01:00:00,-,85,46,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-13 23:00:00,134,134,60,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-13 23:00:00,87,87,47,,49,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-14 00:03:15,151,151,57,108,,,,,55,30.7,,,
Depok,Cinere - Nafas,2026-05-14 00:02:59,165,165,67,144,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-13 01:00:00,-,85,46,,4,9,0,80,,,,,
