city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-23 23:58:40,113,113,44,82,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-23 23:58:27,169,169,71,152,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-23 23:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-23 23:00:00,66,66,36,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-23 23:00:00,77,77,41,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-23 23:58:40,113,113,44,82,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-23 23:58:27,169,169,71,152,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-23 23:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-23 23:00:00,66,66,36,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-23 23:00:00,77,77,41,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-23 23:59:40,115,115,45,85,,,,,56,30.4,,,
Depok,Cinere - Nafas,2026-04-23 23:59:27,168,168,70,152,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-23 23:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-23 23:00:00,66,66,36,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-23 23:00:00,77,77,41,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-24 00:00:40,118,118,46,84,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-24 00:00:27,170,170,74,152,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-23 23:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-23 23:00:00,66,66,36,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-23 23:00:00,77,77,41,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-24 00:02:40,112,112,45,84,,,,,56,30.5,,,
Depok,Cinere - Nafas,2026-04-24 00:02:27,170,170,73,153,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 00:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 00:00:00,67,67,37,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 00:00:00,82,82,43,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-24 00:04:40,108,108,42,80,,,,,57,30.5,,,
Depok,Cinere - Nafas,2026-04-24 00:04:27,170,170,73,153,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 00:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 00:00:00,67,67,37,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 00:00:00,82,82,43,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-24 00:05:40,111,111,44,83,,,,,57,30.5,,,
Depok,Cinere - Nafas,2026-04-24 00:04:27,170,170,73,153,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 00:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 00:00:00,67,67,37,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 00:00:00,82,82,43,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-24 00:06:40,110,110,43,83,,,,,56,30.4,,,
Depok,Cinere - Nafas,2026-04-24 00:06:44,169,169,73,153,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 00:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 00:00:00,67,67,37,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 00:00:00,82,82,43,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-24 00:08:40,119,119,48,86,,,,,57,30.5,,,
Depok,Cinere - Nafas,2026-04-24 00:08:44,171,171,74,152,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 00:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 00:00:00,67,67,37,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 00:00:00,82,82,43,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-24 00:08:40,119,119,48,86,,,,,57,30.5,,,
Depok,Cinere - Nafas,2026-04-24 00:08:44,171,171,74,152,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 00:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 00:00:00,67,67,37,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 00:00:00,82,82,43,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-24 00:09:40,119,119,48,86,,,,,56,30.4,,,
Depok,Cinere - Nafas,2026-04-24 00:09:44,170,170,74,152,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-24 00:00:00,80,0,0,,,,,,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 00:00:00,67,67,37,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-24 00:00:00,82,82,43,,74,16,0,23,,,,,
