city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-27 23:56:37,180,180,82,163,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-27 23:57:19,101,101,40,75,,,,,72,23,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 23:00:00,71,62,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-27 23:00:00,54,54,29,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 23:56:37,180,180,82,163,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-27 23:57:19,101,101,40,75,,,,,72,23,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 23:00:00,71,62,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-27 23:00:00,54,54,29,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 23:58:37,180,180,82,163,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-27 23:59:19,101,101,41,75,,,,,70,23.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 23:00:00,71,62,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-27 23:00:00,54,54,29,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 23:58:37,180,180,82,163,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-27 23:59:19,101,101,41,75,,,,,70,23.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 23:00:00,71,62,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-27 23:00:00,54,54,29,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:00:37,183,183,85,165,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:01:12,103,103,40,77,,,,,69,24.1,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:00:37,183,183,85,165,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:01:12,103,103,40,77,,,,,69,24.1,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:02:37,184,184,86,164,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:01:12,103,103,40,77,,,,,69,24.1,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:04:37,182,182,84,164,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:05:34,98,98,37,76,,,,,65,25.1,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:04:37,182,182,84,164,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:05:34,98,98,37,76,,,,,65,25.1,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:06:37,184,184,84,166,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:07:34,95,95,36,73,,,,,64,25.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:06:37,184,184,84,166,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:07:34,95,95,36,73,,,,,64,25.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:08:37,186,186,88,167,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:08:34,94,94,35,71,,,,,63,25.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:10:37,184,184,87,166,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:10:54,92,92,32,71,,,,,62,25.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:10:37,184,184,87,166,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:10:54,92,92,32,71,,,,,62,25.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:12:37,186,186,88,167,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:11:54,88,88,32,71,,,,,62,25.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-28 00:00:00,51,51,28,,59,63,0,26,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-28 00:14:37,188,188,90,168,,,,,59,29,,,
Depok,Cinere - Nafas,2026-05-28 00:15:11,87,87,32,70,,,,,61,26.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-28 00:00:00,71,62,29,,4,10,0,71,,,,,
