city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-17 23:56:17,166,166,67,152,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-17 23:56:18,91,91,34,70,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-17 23:00:00,71,59,26,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-17 23:00:00,125,125,52,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-17 23:56:17,166,166,67,152,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-17 23:56:18,91,91,34,70,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-17 23:00:00,71,59,26,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-17 23:00:00,125,125,52,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-17 23:58:17,166,166,67,151,,,,,58,30.3,,,
Depok,Cinere - Nafas,2026-05-17 23:58:18,91,91,32,72,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-17 23:00:00,71,59,26,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-17 23:00:00,125,125,52,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-18 00:00:17,166,166,68,151,,,,,58,30.2,,,
Depok,Cinere - Nafas,2026-05-18 00:00:20,86,86,28,69,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-17 23:00:00,71,59,26,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-17 23:00:00,125,125,52,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-18 00:01:17,167,167,69,152,,,,,58,30.2,,,
Depok,Cinere - Nafas,2026-05-18 00:01:18,87,87,30,68,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-17 23:00:00,71,59,26,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-17 23:00:00,125,125,52,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-18 00:03:17,164,164,67,150,,,,,58,30.2,,,
Depok,Cinere - Nafas,2026-05-18 00:03:20,84,84,28,67,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-17 23:00:00,71,59,26,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-17 23:00:00,125,125,52,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-18 00:03:17,164,164,67,150,,,,,58,30.2,,,
Depok,Cinere - Nafas,2026-05-18 00:03:20,84,84,28,67,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-17 23:00:00,71,59,26,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-17 23:00:00,125,125,52,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-18 00:05:17,164,164,65,149,,,,,58,30.2,,,
Depok,Cinere - Nafas,2026-05-18 00:05:18,82,82,28,64,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-17 23:00:00,71,59,26,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-17 23:00:00,125,125,52,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-18 00:06:17,163,163,66,150,,,,,58,30.1,,,
