city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-05 23:58:48,96,96,37,74,,,,,58,29,,,
Depok,Cinere - Nafas,2026-05-05 23:58:31,156,156,61,125,,,,,68,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-05 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-05 23:00:00,69,69,34,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-05 23:00:00,44,44,22,,60,13,0,1,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-05 23:59:48,94,94,33,73,,,,,58,29,,,
Depok,Cinere - Nafas,2026-05-05 23:59:31,156,156,60,125,,,,,67,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-05 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-05 23:00:00,69,69,34,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-05 23:00:00,44,44,22,,60,13,0,1,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-06 00:00:48,97,97,35,73,,,,,58,29,,,
Depok,Cinere - Nafas,2026-05-06 00:00:31,155,155,60,120,,,,,67,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-05 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-05 23:00:00,69,69,34,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-05 23:00:00,44,44,22,,60,13,0,1,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-06 00:02:48,97,97,34,75,,,,,58,29.1,,,
Depok,Cinere - Nafas,2026-05-06 00:02:31,156,156,61,129,,,,,67,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-06 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-06 00:00:00,68,68,34,,58,63,0,65,,,,,
