city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-16 23:58:25,125,125,50,87,,,,,61,28.7,,,
Depok,Cinere - Nafas,2026-04-16 23:58:50,108,108,41,77,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-16 23:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-16 23:00:00,95,95,46,,59,63,0,58,,,,,
Bekasi,Bekasi Kayuringin,2026-04-16 23:00:00,78,78,39,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-16 23:59:25,130,130,52,89,,,,,61,28.7,,,
Depok,Cinere - Nafas,2026-04-16 23:58:50,108,108,41,77,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-16 23:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-16 23:00:00,95,95,46,,59,63,0,58,,,,,
Bekasi,Bekasi Kayuringin,2026-04-16 23:00:00,78,78,39,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-17 00:00:25,128,128,51,91,,,,,61,28.7,,,
Depok,Cinere - Nafas,2026-04-16 23:58:50,108,108,41,77,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-16 23:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-16 23:00:00,95,95,46,,59,63,0,58,,,,,
Bekasi,Bekasi Kayuringin,2026-04-16 23:00:00,78,78,39,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-17 00:01:25,125,125,50,88,,,,,61,28.7,,,
Depok,Cinere - Nafas,2026-04-17 00:01:24,103,103,42,77,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-16 23:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-16 23:00:00,95,95,46,,59,63,0,58,,,,,
Bekasi,Bekasi Kayuringin,2026-04-16 23:00:00,78,78,39,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-17 00:02:25,118,118,48,84,,,,,61,28.6,,,
Depok,Cinere - Nafas,2026-04-17 00:02:24,108,108,42,77,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-16 23:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-16 23:00:00,95,95,46,,59,63,0,58,,,,,
Bekasi,Bekasi Kayuringin,2026-04-16 23:00:00,78,78,39,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-17 00:03:25,115,115,45,83,,,,,61,28.6,,,
Depok,Cinere - Nafas,2026-04-17 00:03:24,110,110,43,79,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-16 23:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-16 23:00:00,95,95,46,,59,63,0,58,,,,,
Bekasi,Bekasi Kayuringin,2026-04-16 23:00:00,78,78,39,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-17 00:06:25,112,112,44,81,,,,,61,28.5,,,
Depok,Cinere - Nafas,2026-04-17 00:06:24,108,108,42,79,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-16 23:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-16 23:00:00,95,95,46,,59,63,0,58,,,,,
Bekasi,Bekasi Kayuringin,2026-04-16 23:00:00,78,78,39,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-17 00:07:25,114,114,45,82,,,,,61,28.5,,,
Depok,Cinere - Nafas,2026-04-17 00:07:24,110,110,43,78,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-16 23:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-16 23:00:00,95,95,46,,59,63,0,58,,,,,
Bekasi,Bekasi Kayuringin,2026-04-16 23:00:00,78,78,39,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-17 00:07:25,114,114,45,82,,,,,61,28.5,,,
Depok,Cinere - Nafas,2026-04-17 00:07:24,110,110,43,78,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-16 23:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-16 23:00:00,95,95,46,,59,63,0,58,,,,,
Bekasi,Bekasi Kayuringin,2026-04-16 23:00:00,78,78,39,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-17 00:08:25,115,115,45,83,,,,,61,28.4,,,
Depok,Cinere - Nafas,2026-04-17 00:08:25,106,106,42,78,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-17 00:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-17 00:00:00,92,92,45,,59,63,0,59,,,,,
Bekasi,Bekasi Kayuringin,2026-04-17 00:00:00,77,77,38,,76,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-17 00:10:25,112,112,43,84,,,,,61,28.4,,,
Depok,Cinere - Nafas,2026-04-17 00:10:24,106,106,42,75,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-17 00:00:00,80,65,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-17 00:00:00,92,92,45,,59,63,0,59,,,,,
