city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-24 23:55:59,37,37,8,21,,,,,60,27.1,,,
Depok,Cinere - Nafas,2026-05-24 23:56:01,49,49,13,24,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-24 23:00:00,108,108,43,,56,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-24 23:57:59,32,32,8,20,,,,,61,27.1,,,
Depok,Cinere - Nafas,2026-05-24 23:58:01,38,38,12,24,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-24 23:00:00,108,108,43,,56,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-24 23:59:59,37,37,8,20,,,,,61,27.1,,,
Depok,Cinere - Nafas,2026-05-25 00:00:01,47,47,10,26,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-24 23:00:00,108,108,43,,56,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-24 23:59:59,37,37,8,20,,,,,61,27.1,,,
Depok,Cinere - Nafas,2026-05-25 00:00:01,47,47,10,26,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-24 23:00:00,108,108,43,,56,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-25 00:01:59,38,38,9,21,,,,,61,27.1,,,
Depok,Cinere - Nafas,2026-05-25 00:02:01,46,46,14,22,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-24 23:00:00,108,108,43,,56,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-25 00:04:01,43,43,9,24,,,,,61,27.1,,,
Depok,Cinere - Nafas,2026-05-25 00:04:01,50,50,13,27,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-24 23:00:00,108,108,43,,56,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-25 00:04:01,43,43,9,24,,,,,61,27.1,,,
Depok,Cinere - Nafas,2026-05-25 00:04:01,50,50,13,27,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-24 23:00:00,108,108,43,,56,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-25 00:04:59,44,44,11,24,,,,,61,27.1,,,
Depok,Cinere - Nafas,2026-05-25 00:05:01,47,47,12,24,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-24 23:00:00,108,108,43,,56,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-25 00:04:59,44,44,11,24,,,,,61,27.1,,,
Depok,Cinere - Nafas,2026-05-25 00:05:01,47,47,12,24,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-24 23:00:00,108,108,43,,56,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-25 00:06:59,30,30,7,17,,,,,61,27.1,,,
Depok,Cinere - Nafas,2026-05-25 00:07:01,45,45,12,22,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-24 23:00:00,71,61,28,,4,10,0,71,,,,,
