city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-09 23:57:49,54,54,17,32,,,,,53,29.3,,,
Depok,Cinere - Nafas,2026-04-09 23:58:47,106,106,43,79,,,,,62,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-09 23:00:00,65,26,16,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-09 23:00:00,60,60,25,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-09 23:58:49,50,50,13,24,,,,,53,29.3,,,
Depok,Cinere - Nafas,2026-04-09 23:58:47,106,106,43,79,,,,,62,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-09 23:00:00,65,26,16,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-09 23:00:00,60,60,25,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-10 00:01:49,51,51,14,24,,,,,53,29.2,,,
Depok,Cinere - Nafas,2026-04-10 00:01:47,105,105,43,76,,,,,62,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-09 23:00:00,65,26,16,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-09 23:00:00,60,60,25,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-10 00:02:49,49,49,14,28,,,,,53,29.2,,,
Depok,Cinere - Nafas,2026-04-10 00:02:47,107,107,45,76,,,,,62,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-09 23:00:00,65,26,16,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-09 23:00:00,60,60,25,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-10 00:03:49,53,53,15,27,,,,,53,29.2,,,
Depok,Cinere - Nafas,2026-04-10 00:03:47,111,111,45,79,,,,,62,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-09 23:00:00,65,26,16,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-09 23:00:00,60,60,25,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-10 00:04:49,53,53,14,28,,,,,53,29.2,,,
Depok,Cinere - Nafas,2026-04-10 00:04:47,106,106,42,78,,,,,62,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-09 23:00:00,65,26,16,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-09 23:00:00,60,60,25,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-10 00:06:49,36,36,8,24,,,,,53,29.2,,,
Depok,Cinere - Nafas,2026-04-10 00:06:47,108,108,45,79,,,,,62,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-09 23:00:00,65,26,16,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-09 23:00:00,60,60,25,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-10 00:06:49,36,36,8,24,,,,,53,29.2,,,
Depok,Cinere - Nafas,2026-04-10 00:06:47,108,108,45,79,,,,,62,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
