city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-07 14:46:04,89,89,30,74,,,,,37,36.59,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-07 14:00:00,80,72,36,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-07 14:00:00,94,94,45,,37,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-07 14:00:00,141,141,56,,79,15,0,25,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-07 14:48:05,94,94,32,75,,,,,37,36.5,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-07 14:00:00,80,72,36,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-07 14:00:00,94,94,45,,37,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-07 14:00:00,141,141,56,,79,15,0,25,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-07 14:49:05,94,94,32,77,,,,,37,36.5,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-07 14:00:00,80,72,36,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-07 14:00:00,94,94,45,,37,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-07 14:00:00,141,141,56,,79,15,0,25,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-07 14:50:04,91,91,30,72,,,,,37,36.59,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-07 14:00:00,80,72,36,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-07 14:00:00,94,94,45,,37,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-07 14:00:00,141,141,56,,79,15,0,25,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-07 14:51:04,92,92,31,73,,,,,37,36.5,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-07 14:00:00,80,72,36,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-07 14:00:00,94,94,45,,37,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-07 14:00:00,141,141,56,,79,15,0,25,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-07 14:53:04,91,91,33,72,,,,,37,36.4,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-07 14:00:00,80,72,36,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-07 14:00:00,94,94,45,,37,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-07 14:00:00,141,141,56,,79,15,0,25,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-07 14:53:04,91,91,33,72,,,,,37,36.4,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-07 14:00:00,80,72,36,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-07 14:00:00,94,94,45,,37,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-07 14:00:00,141,141,56,,79,15,0,25,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-07 14:55:04,86,86,28,70,,,,,38,36.4,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-07 14:00:00,80,72,36,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-07 14:00:00,94,94,45,,37,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-07 14:00:00,141,141,56,,79,15,0,25,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-07 14:56:04,85,85,29,69,,,,,38,36.5,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-07 14:00:00,80,72,36,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-07 14:00:00,94,94,45,,37,63,0,65,,,,,
