city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-13 23:58:48,135,135,53,96,,,,,58,30,,,
Depok,Cinere - Nafas,2026-04-13 23:58:42,131,131,52,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-13 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-13 23:00:00,75,75,34,,74,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-13 23:59:47,139,139,54,101,,,,,58,30,,,
Depok,Cinere - Nafas,2026-04-13 23:58:42,131,131,52,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-13 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-13 23:00:00,75,75,34,,74,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:00:47,136,136,54,96,,,,,58,29.9,,,
Depok,Cinere - Nafas,2026-04-13 23:58:42,131,131,52,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-13 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-13 23:00:00,75,75,34,,74,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:02:47,138,138,54,100,,,,,58,29.9,,,
Depok,Cinere - Nafas,2026-04-14 00:02:16,125,125,52,89,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-13 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-13 23:00:00,75,75,34,,74,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:03:48,138,138,55,103,,,,,58,29.9,,,
Depok,Cinere - Nafas,2026-04-14 00:03:16,126,126,51,87,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-13 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-13 23:00:00,75,75,34,,74,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:03:48,138,138,55,103,,,,,58,29.9,,,
Depok,Cinere - Nafas,2026-04-14 00:03:16,126,126,51,87,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-13 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-13 23:00:00,75,75,34,,74,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:04:48,139,139,55,101,,,,,58,29.9,,,
Depok,Cinere - Nafas,2026-04-14 00:03:16,126,126,51,87,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-13 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-13 23:00:00,75,75,34,,74,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:07:48,144,144,56,105,,,,,58,29.7,,,
Depok,Cinere - Nafas,2026-04-14 00:07:25,128,128,52,89,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-13 23:00:00,80,58,26,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-13 23:00:00,75,75,34,,74,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:08:48,146,146,56,111,,,,,58,29.7,,,
Depok,Cinere - Nafas,2026-04-14 00:08:25,125,125,50,88,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:09:48,141,141,55,106,,,,,58,29.6,,,
Depok,Cinere - Nafas,2026-04-14 00:09:25,125,125,51,89,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:10:48,143,143,56,106,,,,,58,29.6,,,
Depok,Cinere - Nafas,2026-04-14 00:10:48,128,128,51,90,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:11:48,141,141,55,102,,,,,59,29.5,,,
Depok,Cinere - Nafas,2026-04-14 00:10:48,128,128,51,90,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:12:48,141,141,55,108,,,,,59,29.5,,,
Depok,Cinere - Nafas,2026-04-14 00:13:08,128,128,51,89,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:13:48,141,141,56,102,,,,,59,29.4,,,
Depok,Cinere - Nafas,2026-04-14 00:14:08,126,126,51,90,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:15:48,145,145,56,107,,,,,59,29.4,,,
Depok,Cinere - Nafas,2026-04-14 00:16:08,129,129,53,90,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:16:48,142,142,56,105,,,,,59,29.4,,,
Depok,Cinere - Nafas,2026-04-14 00:17:08,134,134,53,91,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:18:48,141,141,55,101,,,,,59,29.4,,,
Depok,Cinere - Nafas,2026-04-14 00:19:09,130,130,53,89,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:19:48,141,141,55,106,,,,,59,29.4,,,
Depok,Cinere - Nafas,2026-04-14 00:20:09,131,131,53,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-14 00:00:00,73,73,34,,75,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-14 00:20:48,142,142,56,106,,,,,59,29.4,,,
Depok,Cinere - Nafas,2026-04-14 00:21:09,131,131,52,94,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-14 00:00:00,80,58,25,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-13 01:00:00,-,52,24,,41,63,0,64,,,,,
