city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-22 23:57:36,106,106,42,79,,,,,60,28.5,,,
Depok,Cinere - Nafas,2026-04-22 23:58:05,75,75,24,49,,,,,59,26.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-22 23:00:00,80,75,39,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-22 23:00:00,114,114,52,,58,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-22 23:00:00,87,87,42,,81,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-22 23:58:36,106,106,40,76,,,,,60,28.5,,,
Depok,Cinere - Nafas,2026-04-22 23:59:05,77,77,25,50,,,,,59,26.8,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-22 23:00:00,80,75,39,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-22 23:00:00,114,114,52,,58,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-22 23:00:00,87,87,42,,81,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-22 23:59:36,98,98,37,75,,,,,60,28.5,,,
Depok,Cinere - Nafas,2026-04-23 00:00:05,71,71,22,41,,,,,59,26.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-22 23:00:00,80,75,39,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-22 23:00:00,114,114,52,,58,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-22 23:00:00,87,87,42,,81,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-23 00:00:36,99,99,36,73,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-04-23 00:01:05,77,77,25,48,,,,,59,26.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-22 23:00:00,80,75,39,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-23 00:00:00,107,107,51,,58,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-23 00:00:00,83,83,41,,81,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-23 00:03:36,96,96,35,71,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-04-23 00:04:05,70,70,22,45,,,,,60,26.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-23 00:00:00,80,74,38,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-23 00:00:00,107,107,51,,58,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-23 00:00:00,83,83,41,,81,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-23 00:04:36,97,97,37,74,,,,,60,28.6,,,
Depok,Cinere - Nafas,2026-04-23 00:05:05,75,75,23,42,,,,,60,26.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-23 00:00:00,80,74,38,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-23 00:00:00,107,107,51,,58,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-23 00:00:00,83,83,41,,81,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-23 00:04:36,97,97,37,74,,,,,60,28.6,,,
