city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-26 23:58:11,132,132,53,95,,,,,56,30.2,,,
Depok,Cinere - Nafas,2026-04-26 23:58:45,101,101,41,75,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-26 23:00:00,80,72,37,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-26 23:00:00,53,53,26,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-26 23:59:12,127,127,51,94,,,,,56,30.2,,,
Depok,Cinere - Nafas,2026-04-26 23:59:45,99,99,40,75,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-26 23:00:00,80,72,37,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-26 23:00:00,53,53,26,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-27 00:00:12,129,129,51,93,,,,,56,30.2,,,
Depok,Cinere - Nafas,2026-04-27 00:00:44,103,103,41,75,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-26 23:00:00,80,72,37,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-26 23:00:00,53,53,26,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-27 00:01:12,131,131,52,93,,,,,56,30.2,,,
Depok,Cinere - Nafas,2026-04-27 00:01:45,103,103,42,75,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-26 23:00:00,80,72,37,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-26 23:00:00,53,53,26,,77,15,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-27 00:03:12,131,131,52,94,,,,,56,30.2,,,
