city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-25 23:57:42,39,39,10,24,,,,,54,30.9,,,
Depok,Cinere - Nafas,2026-04-25 23:58:07,112,112,45,82,,,,,61,28.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-25 23:00:00,80,71,35,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-25 23:00:00,56,56,30,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-25 23:58:42,44,44,10,27,,,,,53,31,,,
Depok,Cinere - Nafas,2026-04-25 23:59:20,111,111,44,82,,,,,61,28.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-25 23:00:00,80,71,35,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-25 23:00:00,56,56,30,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-25 23:59:41,59,59,16,35,,,,,54,31,,,
Depok,Cinere - Nafas,2026-04-26 00:00:07,111,111,44,81,,,,,61,28.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-25 23:00:00,80,71,35,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-25 23:00:00,56,56,30,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-26 00:00:41,51,51,13,30,,,,,54,31,,,
Depok,Cinere - Nafas,2026-04-26 00:01:07,111,111,45,82,,,,,61,28.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-25 23:00:00,80,71,35,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-25 23:00:00,56,56,30,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-26 00:01:41,57,57,16,35,,,,,54,31,,,
Depok,Cinere - Nafas,2026-04-26 00:02:10,113,113,45,81,,,,,61,28.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-25 23:00:00,80,71,35,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-24 14:00:00,-,70,35,,58,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-25 23:00:00,56,56,30,,74,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-26 00:04:42,61,61,17,32,,,,,54,31,,,
Depok,Cinere - Nafas,2026-04-26 00:05:07,113,113,45,83,,,,,61,28.7,,,
