city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-21 23:58:05,164,164,64,149,,,,,55,30.3,,,
Depok,Cinere - Nafas,2026-04-21 23:56:28,180,180,83,158,,,,,65,27.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-21 23:00:00,83,83,45,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-21 23:00:00,126,126,55,,59,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-21 23:00:00,111,111,50,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-21 23:59:05,162,162,65,146,,,,,54,30.3,,,
Depok,Cinere - Nafas,2026-04-21 23:56:28,180,180,83,158,,,,,65,27.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-21 23:00:00,83,83,45,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-21 23:00:00,126,126,55,,59,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-21 23:00:00,111,111,50,,76,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-22 00:01:06,161,161,62,136,,,,,55,30.3,,,
Depok,Cinere - Nafas,2026-04-21 23:56:28,180,180,83,158,,,,,65,27.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-22 00:00:00,82,82,44,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-22 00:00:00,129,129,55,,59,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-22 00:00:00,107,107,50,,77,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-22 00:03:05,163,163,65,150,,,,,55,30.3,,,
Depok,Cinere - Nafas,2026-04-21 23:56:28,180,180,83,158,,,,,65,27.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-22 00:00:00,82,82,44,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-22 00:00:00,129,129,55,,59,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-22 00:00:00,107,107,50,,77,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-22 00:04:06,165,165,67,151,,,,,55,30.3,,,
Depok,Cinere - Nafas,2026-04-22 00:03:15,179,179,82,157,,,,,65,27.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-22 00:00:00,82,82,44,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-22 00:00:00,129,129,55,,59,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-22 00:00:00,107,107,50,,77,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-22 00:05:06,161,161,63,139,,,,,55,30.3,,,
Depok,Cinere - Nafas,2026-04-22 00:04:15,179,179,83,157,,,,,65,27.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-22 00:00:00,82,82,44,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-22 00:00:00,129,129,55,,59,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-22 00:00:00,107,107,50,,77,16,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-22 00:05:06,161,161,63,139,,,,,55,30.3,,,
Depok,Cinere - Nafas,2026-04-22 00:04:15,179,179,83,157,,,,,65,27.3,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-22 00:00:00,82,82,44,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-22 00:00:00,129,129,55,,59,63,0,64,,,,,
Bekasi,Bekasi Kayuringin,2026-04-22 00:00:00,107,107,50,,77,16,0,23,,,,,
