city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-25 23:56:31,77,77,23,57,,,,,59,27.9,,,
Depok,Cinere - Nafas,2026-05-25 23:56:56,103,103,42,78,,,,,65,26.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-25 23:00:00,72,49,19,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-25 23:00:00,16,13,16,,61,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-25 23:58:31,88,88,30,65,,,,,59,27.9,,,
Depok,Cinere - Nafas,2026-05-25 23:58:56,103,103,42,79,,,,,65,26.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-25 23:00:00,72,49,19,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-25 23:00:00,16,13,16,,61,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-25 23:58:31,88,88,30,65,,,,,59,27.9,,,
Depok,Cinere - Nafas,2026-05-25 23:58:56,103,103,42,79,,,,,65,26.7,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-25 23:00:00,72,49,19,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-25 23:00:00,16,13,16,,61,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-26 00:00:31,84,84,26,63,,,,,59,27.9,,,
Depok,Cinere - Nafas,2026-05-25 23:59:56,106,106,45,80,,,,,65,26.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 00:00:00,72,50,20,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-25 23:00:00,16,13,16,,61,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-26 00:02:31,85,85,27,65,,,,,59,27.9,,,
Depok,Cinere - Nafas,2026-05-26 00:02:28,111,111,45,83,,,,,65,26.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 00:00:00,72,50,20,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-25 23:00:00,16,13,16,,61,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-26 00:02:31,85,85,27,65,,,,,59,27.9,,,
Depok,Cinere - Nafas,2026-05-26 00:02:28,111,111,45,83,,,,,65,26.6,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 00:00:00,72,50,20,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-25 23:00:00,16,13,16,,61,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-26 00:04:31,89,89,31,68,,,,,59,27.9,,,
Depok,Cinere - Nafas,2026-05-26 00:04:28,114,114,47,83,,,,,65,26.5,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 00:00:00,72,50,20,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-25 23:00:00,16,13,16,,61,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-26 00:06:31,94,94,33,71,,,,,59,27.9,,,
Depok,Cinere - Nafas,2026-05-26 00:06:28,110,110,45,79,,,,,66,26.5,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 00:00:00,72,50,20,,4,10,0,72,,,,,
