city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-26 23:58:04,152,152,58,118,,,,,64,27.7,,,
Depok,Cinere - Nafas,2026-05-26 23:58:26,192,192,95,168,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-26 23:58:04,152,152,58,118,,,,,64,27.7,,,
Depok,Cinere - Nafas,2026-05-26 23:58:26,192,192,95,168,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:00:04,154,154,59,121,,,,,64,27.7,,,
Depok,Cinere - Nafas,2026-05-27 00:00:26,193,193,96,168,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:00:04,154,154,59,121,,,,,64,27.7,,,
Depok,Cinere - Nafas,2026-05-27 00:00:26,193,193,96,168,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:02:04,156,156,60,130,,,,,64,27.7,,,
Depok,Cinere - Nafas,2026-05-27 00:02:26,193,193,96,170,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:02:04,156,156,60,130,,,,,64,27.7,,,
Depok,Cinere - Nafas,2026-05-27 00:02:26,193,193,96,170,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:04:04,156,156,61,129,,,,,64,27.7,,,
Depok,Cinere - Nafas,2026-05-27 00:04:27,194,194,98,170,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:04:04,156,156,61,129,,,,,64,27.7,,,
Depok,Cinere - Nafas,2026-05-27 00:04:27,194,194,98,170,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:06:04,156,156,60,127,,,,,64,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:06:27,195,195,100,172,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:06:04,156,156,60,127,,,,,64,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:08:27,194,194,96,171,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-26 23:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:10:04,163,163,64,150,,,,,64,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:10:27,194,194,98,170,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 00:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:10:04,163,163,64,150,,,,,64,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:10:27,194,194,98,170,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 00:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:12:04,153,153,58,120,,,,,64,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:12:27,195,195,100,170,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 00:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:12:04,153,153,58,120,,,,,64,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:12:27,195,195,100,170,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 00:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:14:04,160,160,62,143,,,,,64,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:14:27,196,196,99,171,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 00:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:15:04,156,156,60,133,,,,,64,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:15:27,193,193,96,169,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 00:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:15:04,156,156,60,133,,,,,64,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:15:27,193,193,96,169,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 00:00:00,72,61,28,,4,10,0,72,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-21 13:00:00,-,120,53,,59,63,0,28,,,,,
Bekasi,Bekasi Kayuringin,2026-05-26 10:00:00,-,30,25,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-27 00:17:04,160,160,62,142,,,,,65,27.6,,,
Depok,Cinere - Nafas,2026-05-27 00:17:27,191,191,94,168,,,,,68,26.4,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-27 00:00:00,72,61,28,,4,10,0,72,,,,,
