city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-16 23:55:53,158,158,61,132,,,,,61,29,,,
Depok,Cinere - Nafas,2026-05-16 23:54:20,171,171,75,154,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-16 23:00:00,72,72,37,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-16 23:00:00,158,158,67,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-16 23:56:53,153,153,58,114,,,,,61,29,,,
Depok,Cinere - Nafas,2026-05-16 23:57:40,172,172,76,153,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-16 23:00:00,72,72,37,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-16 23:00:00,158,158,67,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-16 23:58:53,153,153,59,118,,,,,61,29,,,
Depok,Cinere - Nafas,2026-05-16 23:57:40,172,172,76,153,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-16 23:00:00,72,72,37,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-16 23:00:00,158,158,67,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-17 00:00:53,155,155,59,118,,,,,61,29,,,
Depok,Cinere - Nafas,2026-05-17 00:01:00,171,171,74,153,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-16 23:00:00,72,72,37,,4,10,0,71,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-14 14:00:00,-,95,49,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-16 23:00:00,158,158,67,,51,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-17 00:00:53,155,155,59,118,,,,,61,29,,,
Depok,Cinere - Nafas,2026-05-17 00:01:00,171,171,74,153,,,,,0,0,,,
