city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-05-11 23:57:32,94,94,33,72,,,,,55,30.8,,,
Depok,Cinere - Nafas,2026-05-11 23:56:57,127,127,52,89,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-11 23:00:00,80,67,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-11 23:00:00,93,93,47,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-11 23:00:00,84,84,41,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-11 23:58:32,96,96,35,76,,,,,55,30.8,,,
Depok,Cinere - Nafas,2026-05-11 23:57:57,125,125,51,87,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-11 23:00:00,80,67,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-11 23:00:00,93,93,47,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-11 23:00:00,84,84,41,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-12 00:00:32,95,95,33,76,,,,,56,30.8,,,
Depok,Cinere - Nafas,2026-05-11 23:59:57,123,123,49,87,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-11 23:00:00,80,67,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-11 23:00:00,93,93,47,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-11 23:00:00,84,84,41,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-12 00:01:32,92,92,33,74,,,,,56,30.8,,,
Depok,Cinere - Nafas,2026-05-12 00:00:57,126,126,51,90,,,,,0,0,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-05-11 23:00:00,80,67,32,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-05-11 23:00:00,93,93,47,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-05-11 23:00:00,84,84,41,,53,13,0,2,,,,,
Jakarta,The Pakubuwono Menteng,2026-05-12 00:03:32,92,92,33,73,,,,,56,30.8,,,
Depok,Cinere - Nafas,2026-05-12 00:02:57,126,126,52,89,,,,,0,0,,,
