city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-19 23:58:24,93,93,33,73,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-19 23:58:11,153,153,59,115,,,,,65,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-19 23:59:24,99,99,36,76,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-19 23:58:11,153,153,59,115,,,,,65,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:00:24,102,102,38,79,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-19 23:58:11,153,153,59,115,,,,,65,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:01:24,98,98,37,74,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-20 00:00:41,152,152,59,116,,,,,65,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:02:24,108,108,42,79,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-20 00:03:34,153,153,58,114,,,,,65,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:04:24,104,104,40,79,,,,,58,28.5,,,
Depok,Cinere - Nafas,2026-04-20 00:04:34,153,153,59,113,,,,,65,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:05:25,105,105,42,79,,,,,58,28.4,,,
Depok,Cinere - Nafas,2026-04-20 00:05:34,154,154,60,116,,,,,65,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:06:24,101,101,40,79,,,,,58,28.4,,,
Depok,Cinere - Nafas,2026-04-20 00:06:34,153,153,58,115,,,,,65,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:07:25,100,100,38,77,,,,,58,28.4,,,
Depok,Cinere - Nafas,2026-04-20 00:07:34,152,152,58,109,,,,,64,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:08:25,100,100,40,75,,,,,58,28.4,,,
Depok,Cinere - Nafas,2026-04-20 00:07:34,152,152,58,109,,,,,64,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:10:25,99,99,38,75,,,,,58,28.4,,,
Depok,Cinere - Nafas,2026-04-20 00:09:53,152,152,57,110,,,,,65,27,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-19 23:00:00,80,64,31,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-18 14:00:00,-,87,43,,59,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-19 23:00:00,64,64,34,,79,15,0,23,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-20 00:11:25,101,101,39,75,,,,,58,28.4,,,
Depok,Cinere - Nafas,2026-04-20 00:10:53,152,152,58,110,,,,,65,26.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-20 00:00:00,80,65,31,,4,9,0,80,,,,,
